Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
LM 155,projector not turning on,0,0
WB 119,login,0,0
RL 14190,resolved,0,0
BL 325,"""the button is right where i stand so it keeps getting in my way""",0,0
PB 850,"""i didn't know how to send to projector but now i know""",0,0
BA 1130,touch screen was black but it came back before he called,0,0
GB 248,no image,1,0
BA 2185,resolved,0,0
BA 1230,no image,0,0
BA 1230,"""i'm sending my powerpoint to the screen and now i can't control the slides from my laptop. my cursor is also missing""",0,0
BA 1230,"""my video won't play in my powerpoint""",0,0
MY 430,enable,0,0
MY 360B,several monitors off,0,0
BA 1230,asking where help was (she declined help earlier),0,1
MR 6,tm e crash,0,0
BA 1130,"""shhh....shh... why did you press that button?""",0,0
GB 120,enable,0,0
BA 1240,enable,0,0
MY 150,air media code staying on screen despite being connected to air media,0,1
OI 5160,"ian campbell calling in to test the projector, to confirm (or reject) an entry in av issues.",0,0
OI 2212,noticed that intercom was disconnected on talkmaster app,0,1
OI 10204,noticed that intercom was disconnected on talkmaster app,0,1
OI 2295,noticed that intercom was disconnected on talkmaster app,0,1
BA 2155,after hours call,0,0
BA 1240,login,0,0
BA 1170,operation walk through,0,0
BA 1200,no sound,0,0
OI 5240,login,0,0
BA B026,no projected picture,0,1
SS 1078,no answer,0,0
BA 1200,how do you shut everything down?,0,0
BA B024,wanted room access to 1210,0,0
BA 2165,out of of support hours call,0,0
MY 315,accessibility table broken,1,0
NF 003,needs aa batteries,0,1
UC 161,login,0,0
OI 4422,cannot remotely login to this room,0,1
ES B149,login,0,0
BL 313,issues with sound,0,0
OI 2211,image from projector overshooting screen,0,1
AH 107,login,0,0
BF 214,login,0,0
GB 304,login,0,0
SF 1105,"no preview on desktop pc, on screen it is asking prof to set date/time",0,1
SS 2104,needs a specific adapter that is usually in room,0,1
MS 2173,login,0,0
OI 5150,wondering if occs was recording because numbers aren't going up in the class,0,0
MS 2158,missing wireless,1,1
WO 35,"needed login, but complained about a lot of things while saying she didn't need help",0,0
BA 2139,login,0,0
OI 2212,"says intercom not working, volume on the wireless not adjusting",0,1
OI 2212,kyle testing intercom. all good,0,0
WO 25,"volume  issue, sorted out",0,0
BA 2195,asked to be logged in,0,1
MY 330,needs whiteboard markers,0,1
MY 330,needs help getting an image,0,1
BL 312,turning off monitor,0,0
MY 330,student displays not working,0,1
MY 317,"using multiple sources, display question",0,1
LM 161,login,0,0
MB 128,"projector issues, temperature issues",0,0
NF 003,"""no network connection""",0,0
BA 1240,no image,0,0
SF 2202,engage,0,0
MY 490,battery dead on wireless mic,0,0
SK 720,"instructor has windows laptop, can't get image up. windows-p doesn't help, neither does adapter unplug & replug. he says his laptop has ""usb-3"", no direct hdmi adapter.",1,1
PB B150,can't get doc cam working ,0,0
UC 140,login,0,0
UC 244,projector not working ,0,1
PB 255,requesting an assist (called from 416-946-7245),1,0
MS 3154,needs batteries,0,1
WO 25,no audio from desktop pc,0,1
HS 610,needs batteries,0,1
UC 87,no answer,0,0
SS 1085,no display,0,0
MY 360B,engage,0,0
FE 135,can't connect cable to laptop,0,0
UC 144,can't login,0,0
UC 144,needs an adapter,0,1
MY 490,reporting broken glass,0,0
MP 137,already solved,0,0
SF 1101,batteries,0,1
MP 202,front projector not working,1,0
OI 5290,prof says the room is not how they're used to seeing and there's stuff everywhere,0,1
BA 1220,letting us know the last of the batteries was used,1,0
BA 2145,log in request,0,0
UC 244,needed help turning the station off,0,0
BA 1190,aa batteries,0,1
VC 215,too cold in room,0,0
SS 1087,log in request,0,0
MS 3153,double a batteries needed,0,1
MS 3278,log in request,0,0
BA 2145,log in request,0,0
MY 380,not projecting,0,1
BA 1190,says lapel mic is missing,0,1
CR 406,system shut down but is back up now,0,0
SS 1088,done using the mic,0,0
TF 101,after hours,0,0
GB 220,after hours,0,0
ES 1050,after hours,0,0
SK 218,enable.,0,0
BA 1130,how to make sure laptop audio is playing through the speakers.,0,0
BA 1160,not letting her log in - different characters are being entered when type,1,0
OI 2279,turn on the projector.,0,0
BA 1130,person on zoom is coming in garbled.,0,0
SS 2135,touchscreen won't respond to touch.,1,1
MS 2170,no image,0,1
WB 116,room pc no preview.,0,1
MS 2158,wants to make sure laptop video will be captured if they switch from room pc to laptop hdmi.,0,0
CR 404,wants input changed from laptop to hdmi,0,0
OI 8170,how to turn on the projector.,0,0
OI 8170,"getting ""not input signal"".",0,0
LM 162,no image,0,0
GB 244,projector taking a long time to warm up.,0,0
OI 2214,no image,1,1
LM 155,no image ,0,0
OI 5150,resolved now.,0,0
MS 3153,aa batteries.,0,1
OI 5150,no image,0,1
GB 303,"""how do you make mics work?""",0,0
MY 360B,touchscreen keyboard is missing a symbol for their password.,1,0
BL 313,projector isn't turning on.,0,1
KP 108,batteries - can't find rechargable,0,0
NF 003,"""can you e-mail the last prof and tell him he needs to logout of his quercus account.""",0,0
OI 2198,windows laptop not getting an image and keeps reverting from duplicate to extend.,0,1
UC 152,"image suddenly dropped, getting ""no input"" error message",0,1
MY 490,how to access usb files.,0,1
OI 10200,hdmi not working to switch sources.,0,0
AH 100,aa batteries.,0,0
MS 2173,login,0,0
WB 119,no ipad hdmi image.,0,1
SF 1101,no image,0,0
BA 1210,batteires,0,0
IN 204,asking for adapter that is usually provided,0,0
BL 113,display comes on and off.,0,0
BL 313,audio coming out of their macbook and not the room speakers.,0,0
UC 161,login,0,0
MS 3154,how to use the teaching station and one of the projectors is shifted up so only half the screen is showing an image.,0,1
MS 3154,it's okay no need for technician.,0,0
MS 2170,batteries,0,0
RL 14190,no image. ,0,1
SF 1101,calling about equipment for their booking at 1900 on thurs feb 9th,0,0
MC 252,no image,0,0
BA 2165,projector not turning on,0,1
RW 110,"""no problem, i found what i was looking for""",0,0
WI 523,"""both of our utorids failed, can you log me in remotely?""",0,0
MY 440,"display s 2, 3, 5 not working",0,1
BA 1240,said it's 14:15 and they'll proceed ahead without technology. no idea to what problem is,0,0
MR 6,tm e crash,0,0
OI 4422,"""the touchscreen is frozen, none of the buttons are working, we can't send the signal they want to the displays, and it's very very hot""",0,1
UC 244,"""it's my second time using this room, and i can't figure out how to lower the screen""",0,0
GB 119,"""complains of loud noise in room""",0,0
SS 1080,"""the image isn't coming up, my laptop is plugged in, can you help me?"" projector is on, ""check the input terminal""",0,0
SS 1080,laptop signal to projector is cutting out unless adapter is held at a very specific angle. can we send some adapter alternatives asap?,0,1
SS 1070,"complaining about room temperature. ""it's very hot in here!"" and she says this is often the case.",0,0
HS 618,"""it says no signal"" ... ""i always use the adapter with my macbook and it works. i don't know why it's not working today even though i didn't change anything.""",0,1
416-871-8696,calling about a/v rentals,0,0
WW 126,"one of the projectors isn't working, on the touchscreen it's stuck on ""projector shutting down""",1,1
UC 179,projector not turning off,1,1
MC 252,"""i'm not sure what happened, our presentaiton was working, but now it's just something else on the desktop""",0,0
MS 3153,projectors turned off on their own.,0,1
GB 248,no image,0,0
MY 150,having trouble connecting their laptop.,0,1
OI 4422,intercom creating a loud hissing sound.,1,1
BL 306,had the wrong cord plugged in,0,0
BA 1160,"check input terminal, blue screen",0,1
OI 3322,calling from oi 3310 about needing help in oi 3322 ,0,0
OI 2212,unable to log in,0,1
SS 2118,mic isn't on (didn't specify which one),0,1
OI 5150,desktop pc unresponsive/on,0,1
SS 2125,projector not turning on,0,0
KP 108,room is too hot,0,0
WO 25,log in request,0,0
SS 1073,was projecting and now isn't,1,0
BA 2179,wasn't projecting,0,0
BA 2145,wasn't getting projection,0,0
CR 103,projector not turning on,0,0
FE 139,kyle testing intercom,0,0
NF 003,unable to see hdmi image on preview screen. attempted to walk through checking mirror settings on mac os monterey to no avail.,0,1
PB B250,battery,0,0
AH 400,"focus bad on projector, not urgent but needs to be checked",1,0
UC A101,having problems navigating the system and the room pc. says mouse isn't working,0,1
KP 108,user having trouble connecting hdmi to mac os ventura. system pref's displays not showing any hdmi screen options. room pc shows fine on preview screen. he tried two different dongles.,0,1
WI 1017,"wanted to know if there's any way we had an aux cable, so they could play audio from their phone through the podium",0,1
WI 1017,touch screen acting wonky. touching volume control makes window go away,0,1
WB 119,log in,0,0
SS 1072,no image on screen,0,0
SS 2125,projector not turning on,0,0
OI 2214,projector not turning on,0,0
SS 2120,already solved,0,0
OI 11200,projector turned off mid-presentation,0,0
HS 614,projector turned off mid-presentation,0,0
UC A101,can't get audio from desktop pc,0,1
OI 10204,"""tv screen not working"" buzzed in from 10200",0,0
MP 203,batteries,0,1
SS 2110,turn on teaching station,0,0
LM 159,batteries,0,1
MY 440,log in,0,0
SS 2110,projector suddenly turned off,0,0
OI 2279,turn on projector please,0,0
SS 2110,"either shut off again, or didn't start up in the first place",0,0
OI 2279,projector suddenly turned off,0,0
OI 2279,projector suddenly turned off,0,0
MY 490, two of the student displays aren't showing an image ,0,1
SS 2127,no image on screen. e-control link not working,0,1
OI 7192,image dropped,0,0
OI 2289,not enabled,0,0
OI 2214,oi 2214 is having issues with hdmi. ,0,1
MY 360B,login,0,0
SK 702,assist not arrived yet,0,0
HS 705,not enabled,0,0
LM 162,login,0,0
GB 120,gb 120 projector issues.,0,1
WW 121,resolved,0,0
OI 2205,not enabled,0,0
HS 614,screen went black,0,0
OI 8180,no enabled,0,0
HS 610,the projector seems stuck in shut down mode.,0,1
BL 313,no enabled,0,0
UC 152,login,0,0
SS 1074,re-enable ,0,0
BA 2165,resolved,0,0
BA 1160,log in,0,0
OI 5260,projector not turning on,0,0
WI 524,admin login,0,0
BA 1240,resolved,0,0
WB 119,already solved,0,0
UC 179,"""everything unplugged and turned off""",1,1
OI 4420,can't get projector to turn on,0,0
MS 4279,can't get projector to turn on,0,0
WW 120,didn't know how to access usb key,0,0
GB 304,room pc is showing blue screen in preview monitor. room pc is showing on projector.,0,1
HS 618,prof can't hear me at all through intercom,0,1
HS 696,not enabled,0,0
HS 618,projector not working. ,0,0
SK 346,projector not working. ,0,0
MY 370,one of the student displays was not powered on,0,1
MY 420,already solved,0,0
WW 126,no image,1,0
MY 420,screens went black,0,0
MP 203,batteries,0,0
BA 1230,"they need some help with zoom, but can't seem to get control of the mouse/trackpad on the room pc",0,1
OI 5250,projector ,0,0
OI 8201,log in request,0,0
UC 179,log in,0,0
OI 8280,"dongle was ""unstable""",1,0
SK 100,log in request,0,0
MY 150,air media code is being projected and they don't want that on the screen,0,1
NL 6,wallet was found,0,0
WO 25,they aren't getting any media playing from youtube to room pc,0,1
GB 248,completely offline,0,1
SK 218,projector ,0,0
MY 150,letting us know nobody showed up to my 150,0,0
HS 100,they figured it out,0,0
MY 440,issues projecting,0,1
BA 2195,they figured it out,0,0
RL 14190,log in request,0,0
WB 119,log in request,0,0
MS 3153,double a batteries,0,1
ES 1050,mic issue,0,0
BA 2159,projector stopped working,0,0
WO 35,log in request,0,0
BA 2159,projector keeps turning on and off,0,0
OI 4426,"""there's a disturbing noise, it's a high-scratch noise coming from the speakers, it's disrupting my teaching""",1,1
MY 440,"intercom crashed, mike couldn't answer call",0,0
MR 6,tm w crash,0,0
MY 440,"ians answered. instructor could not get image up. talkmaster app kept crashing as i tried to answer this call, i had to restart it.",0,0
BT 101,image is showing on preview but projector not receiving it.,0,1
MC 102,"""my pdfs aren't displaying properly, but my powerpoint is okay""",0,0
NF 003,"""we figured it out, thanks""",0,0
BA 1190,"""the wireless microphone was hidden, but i found it""",0,0
BL 325,no image,0,0
MY 150,one of the screens is dropping the image,1,1
ES B149,"""image is shaded, how do i adjust where the projector goes""",0,0
BA 1190,projection screen is stuck at the halfway point. even holding down the up/down button won't get it to go any further,1,1
BA 1130,wanted to get presenter notes up on powerpoint,0,0
UC 161,"""the console, something inside of it is clicking. there's a button the control screen, says ""unlock microphone cabinet"", that keeps showing up as pressed.

doesn't want this class to be interrupted, he can deal with it. ",1,0
MY 420,can't connect to wireless internet,0,0
SS 1072,"last-minute request for tech2u pc. ""also, can i book one for next week?""",1,1
UC 144,no image,1,1
UC 144,image dropped,1,1
WO 30,"instructor complains that the touchscreen in this room is really slow to wake up, and (what sounds like) going to sleep while the station is logged in & projector is in use.

she says: ""i teach in here 8 hours per week, and this never happens in other classrooms""

says: ""i have to hit the screen to wake it up multiple times every class. sometimes i have to hold my finger there for up to 5 seconds, other times i have to tap it multiple times!""

she's annoyed, but appreciative & a bit surprised that we're receptive to hearing about the problem.",1,0
SF 2202,projector not turning on,0,0
